,num-cars,num-peds,time
481,108,89,40.458333333333336
482,108,89,40.516666666666666
483,108,89,40.833333333333336
484,108,89,41.225
485,108,89,41.375
486,108,89,41.608333333333334
487,108,89,42.44166666666667
488,108,89,42.61666666666667
489,108,89,42.975
490,108,89,43.208333333333336
491,108,89,44.2
492,108,89,44.375
493,108,89,44.708333333333336
494,108,89,47.45
495,108,89,49.2
496,108,89,49.458333333333336
497,108,89,49.65833333333333
498,108,89,50.6
499,120,88,24.641666666666666
500,120,88,24.866666666666667
501,120,88,25.45
502,120,88,25.866666666666667
503,120,88,26.425
504,120,88,26.966666666666665
505,120,88,27.0
506,120,88,27.341666666666665
507,120,88,27.558333333333334
508,120,88,29.4
509,120,88,30.225
510,120,88,30.408333333333335
511,120,88,30.458333333333332
512,120,88,30.633333333333333
513,120,88,31.416666666666668
514,120,88,31.725
515,120,88,31.866666666666667
516,120,88,32.11666666666667
517,120,88,32.53333333333333
518,120,88,32.55833333333333
519,120,88,32.69166666666667
520,120,88,32.75833333333333
521,120,88,33.18333333333333
522,120,88,33.916666666666664
523,120,88,34.09166666666667
524,120,88,34.141666666666666
525,120,88,34.333333333333336
526,120,88,35.625
527,120,88,36.35
528,120,88,36.4
529,120,88,37.06666666666667
530,120,88,38.03333333333333
531,120,88,38.05833333333333
532,120,88,38.15833333333333
533,120,88,39.325
534,120,88,39.458333333333336
535,120,88,41.208333333333336
536,120,88,43.00833333333333
537,120,88,44.00833333333333
538,120,88,44.483333333333334
539,108,89,75.375
540,120,88,49.333333333333336
541,120,88,50.516666666666666
542,120,88,53.725
543,132,90,24.325
544,120,88,54.416666666666664
545,132,90,25.325
546,132,90,25.358333333333334
547,132,90,25.433333333333334
548,132,90,25.883333333333333
549,120,88,57.15833333333333
550,120,88,57.46666666666667
551,120,88,57.65
552,132,90,29.058333333333334
553,132,90,29.458333333333332
554,132,90,29.816666666666666
555,132,90,29.925
556,132,90,30.475
557,120,88,61.13333333333333
558,120,88,62.44166666666667
559,132,90,32.5
560,132,90,32.75
561,132,90,33.141666666666666
562,132,90,33.475
563,132,90,33.708333333333336
564,132,90,33.88333333333333
565,132,90,33.88333333333333
566,132,90,33.9
567,132,90,34.083333333333336
568,132,90,34.11666666666667
569,132,90,34.5
570,132,90,35.24166666666667
571,132,90,35.583333333333336
572,132,90,35.75
573,132,90,36.15
574,132,90,36.36666666666667
575,132,90,36.46666666666667
576,132,90,39.30833333333333
577,132,90,39.36666666666667
578,132,90,42.275
579,132,90,42.391666666666666
580,132,90,42.5
581,132,90,42.541666666666664
582,132,90,43.416666666666664
583,132,90,44.266666666666666
584,132,90,44.59166666666667
585,132,90,45.45
586,132,90,47.475
587,132,90,47.483333333333334
588,132,90,47.94166666666667
589,132,90,48.90833333333333
590,132,90,49.225
591,132,90,49.266666666666666
592,132,90,50.44166666666667
593,132,90,51.36666666666667
594,132,90,51.71666666666667
595,132,90,52.0
596,132,90,53.1
597,132,90,53.21666666666667
598,144,93,24.366666666666667
599,144,93,25.175
600,144,93,25.883333333333333
601,144,93,27.833333333333332
602,144,93,28.15
603,144,93,28.241666666666667
604,144,93,28.716666666666665
605,144,93,28.925
606,120,88,88.94166666666666
607,144,93,29.15
608,144,93,29.341666666666665
609,144,93,30.05
610,144,93,30.15
611,144,93,30.666666666666668
612,144,93,30.883333333333333
613,144,93,31.141666666666666
614,144,93,31.75
615,144,93,32.75833333333333
616,144,93,32.88333333333333
617,144,93,33.1
618,144,93,34.90833333333333
619,132,90,65.0
620,144,93,35.36666666666667
621,144,93,35.63333333333333
622,144,93,36.641666666666666
623,144,93,36.80833333333333
624,144,93,36.85
625,144,93,38.35
626,144,93,39.875
627,144,93,39.875
628,144,93,39.9
629,144,93,41.0
630,144,93,41.641666666666666
631,144,93,42.71666666666667
632,144,93,43.175
633,144,93,44.108333333333334
634,144,93,44.44166666666667
635,144,93,44.475
636,144,93,44.483333333333334
637,144,93,44.61666666666667
638,144,93,45.208333333333336
639,144,93,45.63333333333333
640,144,93,46.225
641,144,93,47.5
642,144,93,47.75
643,144,93,47.96666666666667
644,144,93,49.333333333333336
645,144,93,51.166666666666664
646,144,93,53.125
647,156,90,23.666666666666668
648,156,90,28.6
649,156,90,29.466666666666665
650,156,90,29.675
651,144,93,59.80833333333333
652,156,90,30.183333333333334
653,156,90,30.491666666666667
654,156,90,30.591666666666665
655,156,90,30.608333333333334
656,156,90,30.783333333333335
657,156,90,32.166666666666664
658,156,90,33.15833333333333
659,156,90,33.94166666666667
660,156,90,34.108333333333334
661,156,90,34.475
662,156,90,34.59166666666667
663,156,90,35.21666666666667
664,156,90,35.275
665,156,90,35.583333333333336
666,156,90,36.458333333333336
667,156,90,36.791666666666664
668,156,90,36.833333333333336
669,156,90,36.86666666666667
670,156,90,37.108333333333334
671,156,90,37.5
672,156,90,37.65
673,156,90,37.733333333333334
674,156,90,37.86666666666667
675,156,90,37.925
676,156,90,38.108333333333334
677,156,90,38.28333333333333
678,156,90,38.34166666666667
679,156,90,38.608333333333334
680,156,90,38.641666666666666
681,156,90,39.03333333333333
682,156,90,39.825
683,156,90,40.05
684,156,90,40.09166666666667
685,156,90,40.266666666666666
686,156,90,41.19166666666667
687,156,90,42.075
688,156,90,42.61666666666667
689,156,90,42.74166666666667
690,156,90,43.90833333333333
691,156,90,44.325
692,156,90,44.391666666666666
693,156,90,46.50833333333333
694,156,90,47.225
695,156,90,47.75
696,144,93,79.08333333333333
697,156,90,51.275
698,156,90,55.65833333333333
699,168,97,25.841666666666665
700,168,97,25.975
701,168,97,26.266666666666666
702,168,97,26.508333333333333
703,144,93,87.1
704,168,97,28.575
705,168,97,28.95
706,168,97,28.958333333333332
707,168,97,29.316666666666666
708,168,97,30.025
709,168,97,30.158333333333335
710,168,97,30.375
711,168,97,30.516666666666666
712,168,97,30.675
713,168,97,31.308333333333334
714,168,97,31.5
715,168,97,32.391666666666666
716,168,97,32.49166666666667
717,168,97,32.56666666666667
718,168,97,32.99166666666667
719,168,97,33.225
720,168,97,33.31666666666667
721,168,97,33.4
722,168,97,33.63333333333333
723,168,97,33.88333333333333
724,168,97,34.30833333333333
725,168,97,34.6
726,168,97,34.8
727,168,97,35.53333333333333
728,168,97,35.875
729,168,97,36.15
730,168,97,36.25
731,168,97,36.78333333333333
732,168,97,36.858333333333334
733,168,97,38.65
734,168,97,39.34166666666667
735,168,97,39.95
736,168,97,40.233333333333334
737,168,97,41.55833333333333
738,168,97,42.49166666666667
739,168,97,43.041666666666664
740,168,97,44.875
741,168,97,45.53333333333333
742,168,97,45.69166666666667
743,168,97,49.2
744,168,97,49.475
745,168,97,49.94166666666667
746,168,97,51.46666666666667
747,180,91,24.966666666666665
748,180,91,25.366666666666667
749,180,91,25.825
750,180,91,26.225
751,180,91,26.8
752,180,91,27.6
753,180,91,28.6
754,180,91,29.2
755,180,91,29.533333333333335
756,180,91,29.55
757,180,91,29.741666666666667
758,180,91,29.875
759,180,91,30.05
760,180,91,30.183333333333334
761,180,91,30.666666666666668
762,180,91,31.166666666666668
763,180,91,31.8
764,180,91,32.608333333333334
765,168,97,62.916666666666664
766,180,91,32.96666666666667
767,180,91,33.21666666666667
768,180,91,34.175
769,180,91,34.31666666666667
770,180,91,34.80833333333333
771,180,91,35.416666666666664
772,180,91,35.891666666666666
773,180,91,36.35
774,180,91,37.44166666666667
775,180,91,37.56666666666667
776,180,91,37.608333333333334
777,180,91,38.075
778,168,97,68.28333333333333
779,180,91,38.916666666666664
780,180,91,39.2
781,180,91,39.416666666666664
782,180,91,40.108333333333334
783,180,91,40.983333333333334
784,180,91,41.375
785,168,97,72.19166666666666
786,180,91,42.516666666666666
787,180,91,42.608333333333334
788,180,91,42.69166666666667
789,180,91,42.8
790,180,91,43.625
791,180,91,43.74166666666667
792,180,91,43.766666666666666
793,180,91,44.30833333333333
794,180,91,46.266666666666666
795,180,91,49.925
796,180,91,51.93333333333333
797,180,91,53.325
798,192,90,25.675
799,192,90,26.083333333333332
800,192,90,27.183333333333334
801,192,90,27.516666666666666
802,192,90,29.05
803,192,90,29.15
804,192,90,29.166666666666668
805,192,90,29.308333333333334
806,192,90,29.558333333333334
807,192,90,30.041666666666668
808,192,90,31.95
809,192,90,32.791666666666664
810,192,90,33.325
811,180,91,63.35
812,192,90,33.78333333333333
813,192,90,33.84166666666667
814,192,90,33.90833333333333
815,192,90,34.00833333333333
816,192,90,35.19166666666667
817,192,90,35.458333333333336
818,192,90,36.25
819,192,90,36.425
820,192,90,37.016666666666666
821,192,90,37.391666666666666
822,192,90,37.5
823,192,90,37.94166666666667
824,192,90,38.108333333333334
825,192,90,38.391666666666666
826,192,90,38.40833333333333
827,192,90,38.55833333333333
828,192,90,38.791666666666664
829,192,90,39.208333333333336
830,192,90,39.35
831,192,90,39.608333333333334
832,192,90,40.4
833,192,90,40.40833333333333
834,192,90,40.958333333333336
835,192,90,41.30833333333333
836,192,90,42.075
837,180,91,73.33333333333333
838,192,90,44.175
839,192,90,45.25
840,192,90,45.608333333333334
841,192,90,46.291666666666664
842,192,90,48.9
843,192,90,49.525
844,192,90,52.85
845,192,90,54.13333333333333
846,192,90,54.333333333333336
847,192,90,55.475
848,204,92,27.133333333333333
849,204,92,27.208333333333332
850,204,92,28.2
851,192,90,58.291666666666664
852,204,92,28.3
853,204,92,29.275
854,204,92,29.316666666666666
855,204,92,29.508333333333333
856,204,92,30.708333333333332
857,204,92,31.2
858,204,92,31.433333333333334
859,204,92,31.991666666666667
860,204,92,32.583333333333336
861,204,92,33.208333333333336
862,204,92,33.56666666666667
863,204,92,33.733333333333334
864,204,92,33.75
865,204,92,34.35
866,204,92,34.40833333333333
867,204,92,34.516666666666666
868,204,92,34.75
869,204,92,34.925
870,204,92,34.94166666666667
871,204,92,35.108333333333334
872,204,92,36.4
873,204,92,36.425
874,204,92,36.891666666666666
875,204,92,37.55833333333333
876,204,92,37.88333333333333
877,204,92,38.28333333333333
878,204,92,38.425
879,204,92,38.69166666666667
880,204,92,39.725
881,204,92,40.525
882,204,92,40.99166666666667
883,204,92,42.583333333333336
884,204,92,43.34166666666667
885,204,92,43.475
886,204,92,43.608333333333334
887,204,92,44.18333333333333
888,204,92,45.34166666666667
889,204,92,45.391666666666666
890,204,92,46.775
891,204,92,47.85
892,204,92,51.03333333333333
893,192,90,84.38333333333334
894,216,93,24.8
895,204,92,55.61666666666667
896,204,92,55.65
897,216,93,26.408333333333335
898,216,93,26.516666666666666
899,204,92,56.61666666666667
900,216,93,26.925
901,216,93,27.191666666666666
902,216,93,27.466666666666665
903,216,93,27.866666666666667
904,216,93,29.225
905,216,93,29.966666666666665
906,216,93,30.741666666666667
907,216,93,30.741666666666667
908,216,93,31.591666666666665
909,216,93,32.108333333333334
910,216,93,32.3
911,216,93,32.34166666666667
912,216,93,32.80833333333333
913,204,92,63.06666666666667
914,216,93,33.25
915,216,93,34.325
916,216,93,34.325
917,216,93,34.358333333333334
918,216,93,34.74166666666667
919,216,93,34.766666666666666
920,216,93,35.166666666666664
921,216,93,35.208333333333336
922,216,93,35.5
923,216,93,35.69166666666667
924,216,93,35.85
925,216,93,37.325
926,216,93,37.34166666666667
927,216,93,37.46666666666667
928,216,93,37.65
929,216,93,38.416666666666664
930,216,93,38.733333333333334
931,216,93,38.766666666666666
932,216,93,39.541666666666664
933,216,93,39.708333333333336
934,216,93,40.06666666666667
935,216,93,40.358333333333334
936,216,93,40.708333333333336
937,204,92,70.71666666666667
938,216,93,40.891666666666666
939,216,93,41.0
940,216,93,41.49166666666667
941,216,93,42.68333333333333
942,216,93,47.50833333333333
943,216,93,49.05
944,216,93,50.791666666666664
945,216,93,53.233333333333334
946,216,93,54.05833333333333
947,228,93,26.008333333333333
948,204,92,87.25
949,228,93,27.333333333333332
950,228,93,28.141666666666666
951,228,93,28.816666666666666
952,216,93,59.30833333333333
953,228,93,30.533333333333335
954,228,93,30.55
955,228,93,30.583333333333332
956,228,93,30.7
957,228,93,30.833333333333332
958,228,93,31.891666666666666
959,228,93,32.15
960,228,93,32.291666666666664
961,228,93,33.083333333333336
962,228,93,33.59166666666667
963,228,93,33.75833333333333
964,228,93,34.858333333333334
965,228,93,35.041666666666664
966,228,93,35.68333333333333
967,228,93,36.041666666666664
968,228,93,36.69166666666667
969,228,93,36.708333333333336
970,228,93,36.75833333333333
971,228,93,37.275
972,228,93,37.31666666666667
973,228,93,37.68333333333333
974,228,93,37.708333333333336
975,228,93,38.11666666666667
976,228,93,38.35
977,228,93,38.675
978,228,93,39.38333333333333
979,228,93,39.68333333333333
980,228,93,39.99166666666667
981,228,93,40.28333333333333
982,228,93,41.53333333333333
983,228,93,43.59166666666667
984,228,93,44.333333333333336
985,228,93,44.75833333333333
986,228,93,44.983333333333334
987,228,93,45.49166666666667
988,228,93,45.516666666666666
989,228,93,46.46666666666667
990,228,93,47.38333333333333
991,228,93,49.166666666666664
992,228,93,49.31666666666667
993,228,93,51.233333333333334
994,228,93,52.19166666666667
995,216,93,85.65
996,228,93,56.96666666666667
997,240,96,27.208333333333332
998,240,96,27.458333333333332
999,240,96,28.0
1000,228,93,58.55
1001,240,96,28.733333333333334
1002,240,96,29.25
1003,240,96,29.8
1004,240,96,30.075
1005,240,96,30.308333333333334
1006,240,96,30.675
1007,240,96,31.241666666666667
1008,240,96,31.25
1009,240,96,31.525
1010,240,96,31.808333333333334
1011,240,96,31.825
1012,240,96,32.59166666666667
1013,240,96,32.725
1014,240,96,32.78333333333333
1015,240,96,33.03333333333333
1016,240,96,34.141666666666666
1017,240,96,34.175
1018,228,93,64.28333333333333
1019,240,96,34.44166666666667
1020,240,96,35.075
1021,240,96,35.19166666666667
1022,240,96,36.083333333333336
1023,240,96,36.8
1024,240,96,37.2
1025,240,96,37.36666666666667
1026,240,96,38.075
1027,240,96,38.108333333333334
1028,240,96,38.2
1029,240,96,38.38333333333333
1030,240,96,38.416666666666664
1031,240,96,38.475
1032,240,96,38.483333333333334
1033,240,96,38.80833333333333
1034,228,93,68.88333333333334
1035,240,96,39.94166666666667
1036,240,96,39.99166666666667
1037,240,96,40.59166666666667
1038,240,96,41.375
1039,240,96,41.80833333333333
1040,240,96,42.05
1041,240,96,43.425
1042,240,96,43.80833333333333
1043,240,96,44.0
1044,240,96,44.333333333333336
1045,240,96,45.675
1046,240,96,47.1
1047,240,96,48.69166666666667
1048,240,96,49.03333333333333
1049,252,95,20.0
1050,252,95,22.916666666666668
1051,252,95,27.816666666666666
1052,252,95,28.766666666666666
1053,252,95,29.45
1054,252,95,29.5
1055,252,95,29.508333333333333
1056,252,95,30.025
1057,252,95,31.25
1058,252,95,31.841666666666665
1059,252,95,32.141666666666666
1060,252,95,32.90833333333333
1061,252,95,33.141666666666666
1062,252,95,33.275
1063,252,95,33.43333333333333
1064,252,95,33.65833333333333
1065,252,95,34.0
1066,252,95,34.225
1067,252,95,34.24166666666667
1068,252,95,34.458333333333336
1069,240,96,64.48333333333333
1070,252,95,34.50833333333333
1071,252,95,35.84166666666667
1072,252,95,35.916666666666664
1073,252,95,35.95
1074,252,95,36.175
1075,252,95,36.358333333333334
1076,252,95,36.375
1077,252,95,36.925
1078,252,95,37.09166666666667
1079,252,95,37.13333333333333
1080,252,95,37.666666666666664
1081,252,95,37.9
1082,252,95,38.225
1083,252,95,38.31666666666667
1084,252,95,39.46666666666667
1085,252,95,40.49166666666667
1086,252,95,41.68333333333333
1087,252,95,42.325
